#;QTY;REFDES;DEVICE;DESCRIPTION;PACKAGE;MANUFACTURER;PARTNO;VALUE;
1;1;C1;CAPT_220UF_D7343_10V_10%_L0050;;CAPMP7343X310N;AVX;AVX: TPSD227K010R0050;220UF;
2;1;C2;CAP_22UF_1210_16V_10%_X5R;;CAPC3225X279N;AVX;AVX: 1210YD226KAT2A;22UF;
3;118;C3,C4,C53,C54,C149,C150,C151,C152,C192,C193,C194,C195,C196,C197,C198,C199,C604,C605,C606,C607,C615,C621,C622,C623,C624,C625,C626,C627,C629,C630,C631,C632,C634,C636,C637,C638,C639,C640,C641,C642,C643,C644,C645,C647,C648,C649,C650,C651,C652,C653,C654,C655,C656,C657,C658,C659,C660,C661,C662,C664,C665,C666,C667,C668,C669,C670,C671,C672,C673,C674,C675,C677,C678,C679,C680,C681,C682,C683,C684,C686,C687,C688,C689,C690,C691,C692,C693,C694,C695,C696,C697,C698,C699,C700,C702,C704,C705,C706,C707,C708,C709,C710,C711,C712,C713,C714,C715,C716,C717,C718,C719,C720,C722,C723,C724,C725,C726,C729;CAP_100NF_0402_16V_10%_X7R;;CAPC1005X55N;VENKEL;VEN: C0402X7R160-104KN;0.1UF;
4;81;C5,C13,C15,C20,C32,C57,C62,C296,C297,C298,C299,C300,C301,C305,C306,C307,C314,C316,C319,C320,C336,C338,C341,C342,C351,C396,C397,C398,C407,C408,C411,C414,C417,C430,C431,C432,C435,C436,C437,C438,C439,C440,C441,C442,C453,C454,C460,C471,C472,C473,C474,C475,C476,C477,C478,C479,C480,C481,C482,C483,C514,C516,C518,C520,C522,C524,C527,C528,C529,C532,C540,C541,C542,C543,C544,C546,C594,C612,C620,C748,C749;CHIP_CAPACITOR;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;MURATA;GRM155R71A104KAO1B;100NF;
5;52;C6,C14,C16,C17,C46,C50,C55,C56,C63,C352,C353,C354,C355,C356,C357,C358,C359,C360,C433,C434,C443,C444,C445,C446,C447,C448,C449,C450,C451,C452,C507,C508,C509,C510,C511,C512,C513,C515,C517,C519,C521,C523,C525,C526,C530,C531,C533,C534,C590,C591,C592,C593;CHIP_CAPACITOR;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;MURATA;GRM155R71E103KAO1B;10NF;
6;31;C7,C8,C9,C23,C24,C25,C26,C27,C28,C29,C30,C31,C120,C122,C124,C153,C154,C155,C156,C157,C163,C172,C174,C176,C180,C273,C274,C281,C282,C283,C284;;;CAPC2012X135N;MURATA;GRM21BR60J106KE19L;10UF;
7;164;C10,C11,C12,C18,C19,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C64,C65,C78,C79,C85,C86,C87,C92,C93,C94,C96,C98,C100,C101,C102,C114,C115,C116,C118,C119,C121,C123,C125,C126,C137,C158,C159,C160,C161,C162,C181,C182,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C214,C216,C217,C218,C219,C221,C222,C224,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C257,C258,C259,C260,C261,C262,C263,C264,C265,C266,C267,C268,C269,C272,C275,C276,C277,C278,C279,C280,C285,C286,C287,C288,C289,C290,C291,C292,C293,C294,C295,C302,C303,C304,C322,C323,C324,C325,C330,C331,C332,C333,C344,C345,C346,C347,C361,C362,C363,C364,C365,C366,C367,C368,C369,C370,C371,C372,C373,C374,C375,C376,C377,C378,C379,C380,C381,C382,C383,C384,C385,C386,C387,C427,C428,C429,C468,C469,C470,C486,C487,C599,C600,C601;CHIPCAP0402X0_5;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;PANASONIC;ECJ-0EB0J224K;220NF;
8;4;C21,C22,C554,C555;;;CAPC1005X55N;MURATA;GRM1555C1H220JZ01B;22PF;
9;41;C33,C61,C66,C67,C76,C77,C127,C129,C130,C131,C132,C133,C134,C135,C556,C557,C558,C559,C560,C561,C562,C563,C564,C568,C570,C571,C572,C573,C574,C575,C576,C577,C581,C582,C583,C584,C585,C586,C587,C588,C589;CHIPCAP0402X0_5;;CAPC1005X55N;MURATA;GRM155R60J103KA01J;10NF;
10;1;C47;CAP_2R2UF_0805_25V_10%_X7R;;CAPC2012X140N;AVX;AVX: 08053C225KAT2A;2.2UF;
11;4;C48,C49,C51,C52;CAP_18PF_0402_25V_10%_COG;;CAPC1005X55N;AVX;AVX: 04023A180KAT2A;18PF;
12;5;C58,C329,C459,C467,C595;CAP0805_135;;CAPC2012X135N;MURATA;GRM21BR61E475KA12K;4U7F;
13;14;C59,C60,C84,C270,C271,C456,C457,C458,C464,C465,C466,C596,C597,C598;CAP1210_220;;CAPC3225X220N;MURATA;GRM32DR61C106KA01K;10UF;
14;18;C68,C69,C70,C71,C72,C73,C74,C75,C80,C81,C82,C83,C95,C97,C99,C103,C227,C247;CHIPCAP0402X0_55;;CAPC1005X55N;MURATA;GRM155R60J104KA01J;100NF;
15;22;C88,C89,C164,C326,C327,C328,C334,C335,C348,C349,C350,C388,C389,C390,C391,C392,C393,C394,C395,C488,C602,C603;TANT_CAP_B;;CAPMP3528X210N;KEMET;T520B476M006ATE070;47UF;
16;10;C90,C91,C165,C166,C419,C420,C423,C424,C535,C536;CHIPCAP1210X2_7;;CAPC3225X270N;MURATA;GRM32ER61C226KE20;22UF;
17;6;C104,C105,C400,C402,C405,C410;;;CAPMP7343X430N;KEMET;T530X108M2R5ASE005;1000UF;
18;8;C106,C107,C108,C109,C110,C111,C112,C113;CHIPCAP0402X0_5;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55NCO;MURATA;GRM155R71E103KAO1B;10NF;
19;8;C117,C418,C421,C422,C425,C426,C551,C552;;;CAPC3225X220N;MURATA;GRM32DR61C106KA01K;10UF;
20;2;C128,C136;CHIPCAP0402X0_5;;CAPC1005X55N;MURATA;GRM155R60J104KA01J;100NF;
21;2;C138,C139;CHIPCAP0805X1_3;;CAPC2012X130N;MURATA;GRM21BR61C475KA88;4.7UF;
22;24;C140,C141,C142,C143,C144,C145,C146,C147,C183,C184,C185,C186,C187,C188,C189,C190,C249,C250,C251,C252,C253,C254,C255,C256;CHIPCAP0402X0_55;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55NCO;MURATA;GRM155R71E103KAO1B;10NF;
23;5;C148,C616,C617,C618,C619;CAP_10NF_0402_25V_10%_X7R;;CAPC1005X55N;MURATA;GRM155R60J103KA01J;10NF;
24;2;C167,C168;CHIPCAP1210X1_3;;CAPC2012X130N;MURATA;GRM21BR61C475KA88;4.7UF;
25;17;C169,C170,C171,C173,C175,C177,C178,C179,C191,C212,C213,C215,C220,C223,C225,C226,C248;CHIPCAP0402X0_55;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;PANASONIC;ECJ-0EB0J224K;220NF;
26;8;C239,C240,C241,C242,C243,C244,C245,C246;CHIPCAP0402X0_55;;CAPC1005X55N;MURATA;GRM155R60J103KA01J;10NF;
27;6;C308,C313,C455,C461,C462,C463;CHIPCAP0402;CERAMIC CHIP CAPACITOR - 0402;CAPC1005X55N;MURATA;GRM1555C1H5R0CZ01B;5PF;
28;2;C309,C310;TANT_CAP_B;;CAPMP7343X190N;KEMET;T520V337M2R5ATE025;330UF;
29;2;C311,C312;TANT_CAP_B;;CAPMP3528X210N;KEMET;T520B336M006ATE040;33UF;
30;8;C315,C317,C318,C321,C337,C339,C340,C343;CHIP_CAP_0603_09;CERAMIC CHIP CAPACITOR - 0402;CAPC1608X90N;MURATA;GRM188R71C105KA12;1UF;
31;5;C401,C403,C404,C409,C412;;;CAPAE1050X1270N;SANYO;16SVP330M;330UF;
32;1;C413;;;CAPMP7343X410N;KEMET;T530X687M004ASE005;680UF;
33;4;C484,C485,C547,C548;CAP0805_140;;CAPC2012X140N;MURATA;GRM21BR71E225KA73B;2U2;
34;6;C489,C490,C491,C504,C505,C506;CHIPCAP0603X0_90;;CAPC1608X90N;MURATA;GRM188R61E105KA12J;1UF;
35;6;C492,C493,C494,C495,C496,C497;CHIPCAP1210X2_20;;CAPC3225X220N;MURATA;GRM32DR61C106KA01K;10UF;
36;3;C498,C499,C500;CAP0805_088;;CAPC2012X88N;KEMET;C0805C153J5RAC;15NF;
37;3;C501,C502,C503;CAPMP7343X4_30;;CAPMP7343X430N;KEMET;T530X337M010ATE006;330UF;
38;1;C537;GRM32ER61C226KE20;;CAPC3225X270N;MURATA;GRM32ER61C226KE20;22UF;
39;1;C538;CAPMP7343X310N;;CAPMP7343X310N;KEMET;T530X337M010ATE006;330UF;
40;1;C539;CAPC1005X55N;;CAPC1005X55N;AVX;AVX: 04023C101KAT2A;100PF;
41;1;C545;;;CAPMP7343X310N;KEMET;T530X337M010ATE006;330UF;
42;1;C549;;CER CAP;CAPC3225X220N;MURATA;GRM32DR61C106KA01K;10UF;
43;1;C550;;;CAPC2012X140N;KEMET;C0805C153J5RAC;15NF;
44;1;C553;;;CAPC1608X90N;MURATA;GRM188R61E105KA12J;1UF;
