"A01" "GND"
"A02" "GND"
"A03" "GND"
"A04" "GPIO27*"
"A05" "USB2Clk"
"A06" "TRST"
"A07" "PerClk"
"A08" "GPIO10*"
"A09" "GPIO09*"
"A10" "PerData13"
"A11" "PerData08"
"A12" "PerData06"
"A13" "PerData02"
"A14" "PerR/W"
"A15" "PerWBE0"
"A16" "GPIO13*"
"A17" "GPIO22*"
"A18" "GPIO14*"
"A19" "PerAddr28"
"A20" "PSROOut"
"A21" "PerAddr22"
"A22" "PerAddr18"
"A23" "PerAddr15"
"A24" "PerAddr13"
"A25" "PerAddr08"
"A26" "GPIO03*"
"A27" "UARTSerClk"
"A28" "GND"
"A29" "GPIO36*"
"A30" "PCIAD01"
"A31" "PCIAD03"
"A32" "GND"
"A33" "GND"
"A34" "GND"
"B01" "GND"
"B02" "GND"
"B03" "GND"
"B04" "GND"
"B05" "OVDD"
"B06" "USB2TxRdy*"
"B07" "PerBLast"
"B08" "GND"
"B09" "GPIO06*"
"B10" "PerData14"
"B11" "PerData10"
"B12" "OVDD"
"B13" "PerData03"
"B14" "PerOE"
"B15" "PerWBE1"
"B16" "GND"
"B17" "GPIO15*"
"B18" "PerAddr31"
"B19" "GND"
"B20" "PerAddr25"
"B21" "PerAddr21"
"B22" "TDO"
"B23" "OVDD"
"B24" "PerAddr11"
"B25" "GPIO00*"
"B26" "GND"
"B27" "GND"
"B28" "GPIO39*"
"B29" "GPIO37*"
"B30" "OVDD"
"B31" "GND"
"B32" "GND"
"B33" "GND"
"B34" "GND"
"C01" "PerData17*"
"C02" "GND"
"C03" "GND"
"C04" "GND"
"C05" "GPIO29*"
"C06" "GPIO28*"
"C07" "GPIO11*"
"C08" "USB2RxDV*"
"C09" "TestEn"
"C10" "PerData15"
"C11" "PerData11"
"C12" "PerData07"
"C13" "PerData04"
"C14" "PerData00"
"C15" "PerWBE2"
"C16" "TherMonA"
"C17" "PerReady"
"C18" "PerAddr30"
"C19" "PerAddr27"
"C20" "PerAddr24"
"C21" "PerAddr20"
"C22" "PerAddr17"
"C23" "PerAddr14"
"C24" "PerAddr09"
"C25" "GPIO01*"
"C26" "GPIO05*"
"C27" "UART0_Rx"
"C28" "GPIO34*"
"C29" "GPIO35*"
"C30" "PCIAD02"
"C31" "GND"
"C32" "GND"
"C33" "GND"
"C34" "GND"
"D01" "PerData20*"
"D02" "PerData18*"
"D03" "GND"
"D04" "GND"
"D05" "GND"
"D06" "ExtReset"
"D07" "USB2RxAct*"
"D08" "GPIO08*"
"D09" "GPIO07*"
"D10" "PerCS0*"
"D11" "PerData12"
"D12" "PerData09"
"D13" "PerData05"
"D14" "PerData01"
"D15" "PerWBE3"
"D16" "TherMonB"
"D17" "GPIO12*"
"D18" "PerAddr29"
"D19" "PerAddr26"
"D20" "PerAddr23"
"D21" "PerAddr19"
"D22" "PerAddr16"
"D23" "PerAddr12"
"D24" "PerAddr10"
"D25" "GPIO02*"
"D26" "GPIO04*"
"D27" "UART0_Tx"
"D28" "GPIO38*"
"D29" "PCIAD00"
"D30" "GND"
"D31" "GND"
"D32" "GND"
"D33" "GND"
"D34" "PCIAD04"
"E01" "PerData21*"
"E02" "OVDD"
"E03" "PerData16*"
"E04" "PerData19*"
"E05" "GND"
"E06" "OVDD"
"E07" "OVDD"
"E08" "GND"
"E09" "OVDD"
"E10" "GND"
"E11" "VDD"
"E12" "VDD"
"E13" "VDD"
"E14" "VDD"
"E15" "VDD"
"E16" "GND"
"E17" "OVDD"
"E18" "GND"
"E19" "GND"
"E20" "VDD"
"E21" "VDD"
"E22" "VDD"
"E23" "VDD"
"E24" "VDD"
"E25" "GND"
"E26" "OVDD"
"E27" "GND"
"E28" "OVDD"
"E29" "OVDD"
"E30" "GND"
"E31" "GND"
"E32" "Halt*"
"E33" "OVDD"
"E34" "PCIAD06"
"F01" "PerData25*"
"F02" "USB2DI0*"
"F03" "PerData23*"
"F04" "PerData22*"
"F05" "OVDD"
"F30" "OVDD"
"F31" "PCIAD05"
"F32" "PCIAD07"
"F33" "PCIAD08"
"F34" "PCIAD09"
"G01" "PerData29*"
"G02" "PerData28*"
"G03" "PerData26*"
"G04" "PerData27*"
"G05" "OVDD"
"G30" "OVDD"
"G31" "PCIAD10"
"G32" "PCIC0/BE0"
"G33" "PCIAD11"
"G34" "PCIAD12"
"H01" "GND"
"H02" "GND"
"H03" "PerData31*"
"H04" "PerData30*"
"H05" "GND"
"H30" "GND"
"H31" "PCIAD13"
